objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
235,Danau/Situ,7507A,ID-PA.366,Noname 249,"Kec. Nimbokrang, Kab. Jayapura",Papua,28.54,Kecil,-,1.42700005
236,Danau/Situ,7517A,ID-PA.6,Danau Teun,"Kec.Bonggo, Kab.Sarmi",Papua,468.04,Kecil,-,23.40200043
237,Danau/Situ,7527A,ID-PA.425,Noname 308,"Kec. Wosak, Kab. Nduga",Papua,31.24,Kecil,-,1.56200004
238,Danau/Situ,7528A,ID-PA.47,Danau Habema,"Kec.Pelebaga, Kab.Jayawijaya",Papua,230.52,Kecil,-,11.52600002
239,Danau/Situ,7533A,ID-PA.13,Danau Larson,"Kec.Tembagapura, Kab.Mimika",Papua,25.03,Kecil,-,1.25150001
240,Danau/Situ,7535A,ID-PA.72,Anamkabe,"Kec.Tembagapura, Kab.Mimika",Papua,32.04,Kecil,-,1.602
241,Danau/Situ,7540A,ID-PA.33,Danau Anderson,"Kec.Dumadama, Kab.Paniai",Papua,23.89,Kecil,-,1.19449997
242,Danau/Situ,7550A,ID-PA.12,Danau Noamkiildem,"Kec.Ilaga, Kab.Puncak",Papua,29.48,Kecil,-,1.47399998
243,Danau/Situ,7573A,ID-PA.101,Danau Milo Gong,"Kec.Beoga, Kab.Puncak",Papua,62.46,Kecil,-,3.12299991
244,Danau/Situ,7589A,ID-PA.215,Noname 98,"Kec. Beoga, Kab. Puncak",Papua,36.16,Kecil,-,1.80799997
245,Danau/Situ,7632A,ID-PA.426,Noname 309,"Kec. Balingga, Kab. Lanny Jaya",Papua,29.8,Kecil,-,1.49000001
246,Danau/Situ,7651A,ID-PA.21,Danau Kulumburu,"Kec.Agadugume, Kab.Puncak",Papua,159.28,Kecil,-,7.96400023
247,Danau/Situ,7656A,ID-PA.20,Danau Arkhebold,"Kec.Eragayam, Kab.Mamberamo Tengah",Papua,333.14,Kecil,-,16.65699959
248,Danau/Situ,7764A,ID-PA.455,Noname 338,"Kec. Jair, Kab. Boven Digoel",Papua,26.9,Kecil,-,1.34500003
249,Danau/Situ,7848A,ID-PA.24,Danau Tudimai,"Kec.Kimaam, Kab.Merauke",Papua,133.75,Kecil,-,6.6875
250,Danau/Situ,7849A,ID-PA.25,Danau Maragai,"Kec.Kimaam, Kab.Merauke",Papua,28.82,Kecil,-,1.44099998
251,Danau/Situ,7850A,ID-PA.26,Danau Buramjiram,"Kec.Kimaam, Kab.Merauke",Papua,53.12,Kecil,-,2.6559999
252,Danau/Situ,7852A,ID-PA.219,Noname 102,"Kec. Kimaam, Kab. Merauke",Papua,62.78,Kecil,-,3.13899994
253,Danau/Situ,7853A,ID-PA.223,Noname 106,"Kec. Kimaam, Kab. Merauke",Papua,64.11,Kecil,-,3.20549989
254,Danau/Situ,7857A,ID-PA.23,Danau Mbaruanjiramo,"Kec.Tabonji, Kab.Merauke",Papua,297.16,Kecil,-,14.8579998
255,Danau/Situ,7889A,ID-PA.18,Danau Tuduh Enem,"Kec.Edora, Kab.Mappi",Papua,146.89,Kecil,-,7.34450006
256,Danau/Situ,7890A,ID-PA.22,Danau Womex,"Kec.Nambioman Bapai, Kab.Mappi",Papua,575.47,Kecil,-,28.77350044
257,Danau/Situ,7891A,ID-PA.261,Noname 144,"Kec. Nambioman Bapai, Kab. Mappi",Papua,76.84,Kecil,-,3.84200001
258,Danau/Situ,7912A,ID-PB.14,Telaga Yenyar,"Kec.Kofiau, Kab.Raja Ampat",Papua Barat,33.13,Kecil,-,1.65649998
259,Danau/Situ,7983A,ID-MA.13,Danau Rana,"Kec. Airbuaya, Kab. Buru",Maluku,1153.32,Sedang,-,57.66600037
260,Danau/Situ,8006A,ID-MA.12,Danau Saroma,"Kec. Waepao, Kab. Buru",Maluku,25.92,Kecil,-,1.296
261,Danau/Situ,8028A,ID-MA.9,Jikumerasa Besar,"Kec. Namlea, Kab. Buru",Maluku,60.6,Kecil,-,3.02999997
262,Danau/Situ,8032A,ID-MA.7,Danau Namiwel,"Kec. Namlea, Kab. Buru",Maluku,42.38,Kecil,-,2.11899996
263,Danau/Situ,8037A,ID-MU.18,Danau Karo,"Kec. Obi, Kab. Halmahera Selatan",Maluku Utara,998.33,Kecil,-,49.91650009
264,Danau/Situ,8039A,ID-MU.20,Telaga Besar,"Kec. Obi Utara, Kab. Halmahera Selatan",Maluku Utara,44.12,Kecil,Laguna,2.20600009
265,Danau/Situ,8049A,ID-MA.3,Telaga Tapi,"Kec. Hualmual Belakang , Kab. Seram Bagian Barat",Maluku,56.74,Kecil,-,2.83699989
266,Danau/Situ,8059A,ID-MA.1,Danau Tiboetapala,"Kec. Taniwel, Kab. Seram Bagian Barat",Maluku,41.18,Kecil,-,2.05900002
